No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
462,1881,October 3,Lecture,King Lear,York,"All Saints’ schoolroom (York Herald, October 5, 1881, 7: BNA).",1881-10-03,1881-10-03,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,King Lear,53.9656579,-1.0743052,town
463,1881,October 5,Performances,Pilgrim’s Progress 1 and 2,"St. Leonards, Hastings","Warrior Square Concert Rooms; 13-act afternoon performance, with singing accompanied by harmonium (Hastings and St. Leonards Observer, October 8, 1881, 6: BNA; PP f.2; RJ).",1881-10-05,1881-10-05,,day,TRUE,,performance,FALSE,FALSE,Bunyan|Bunyan,"Pilgrim’s Progress, Part 1|Pilgrim’s Progress, Part 2",50.8521318,0.5603008,town
464,1881,October 24,Performance,Pilgrim’s Progress 1,Romsey,"Town Hall, family hosted by the Mount Temples (Hampshire Advertiser, October 22, 1881, 7: BNA; PP f.3; RJ).",1881-10-24,1881-10-24,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",50.9891396,-1.4999044,town
465,1881,October 25,Performance,Pilgrim’s Progress 1,Romsey,RJ does not mention two performances in Romsey (PP f.3; RJ).,1881-10-25,1881-10-25,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",50.9891396,-1.4999044,town
466,1881,October 27,Performances,Pilgrim’s Progress 1 and 2,Taunton,(PP f.3).,1881-10-27,1881-10-27,,day,TRUE,,performance,FALSE,FALSE,Bunyan|Bunyan,"Pilgrim’s Progress, Part 1|Pilgrim’s Progress, Part 2",51.0147895,-3.1029086,town
467,1881,October 31,Performances,Pilgrim’s Progress 1 and 2,Clifton,"Victoria Rooms (Western Daily Press, November 1, 1881, 3: BNA; PP f.3; RJ).",1881-10-31,1881-10-31,,day,TRUE,,performance,FALSE,FALSE,Bunyan|Bunyan,"Pilgrim’s Progress, Part 1|Pilgrim’s Progress, Part 2",51.4615884,-2.6202846,town
468,1881,November 1,Performances,Pilgrim’s Progress 1 and 2,Bath,"Assembly rooms (Bath Chronicle and Weekly Gazette, October 27, 1881, 5: BNA; PP f.3; RJ).",1881-11-01,1881-11-01,,day,TRUE,,performance,FALSE,FALSE,Bunyan|Bunyan,"Pilgrim’s Progress, Part 1|Pilgrim’s Progress, Part 2",51.3813864,-2.3596963,town
469,1881,November 4,Performances,Pilgrim’s Progress 1 and 2,Cheltenham,"Corn Exchange; MacDonald as Evangelist and Louisa as Interpreter (Cheltenham Examiner, November 9, 1881, 2: BNA; PP f.3; RJ).",1881-11-04,1881-11-04,,day,TRUE,,performance,FALSE,FALSE,Bunyan|Bunyan,"Pilgrim’s Progress, Part 1|Pilgrim’s Progress, Part 2",51.8995685,-2.0711559,town
470,1882,March 24,Performance,Pilgrim’s Progress,"San Remo, ITL",(PP f.4; RJ).,1882-03-24,1882-03-24,,day,TRUE,,performance,FALSE,FALSE,Bunyan,(unspecified),43.8362985,7.7772658,town
471,1882,June 19,Lecture,Romeo and Juliet,London,"Mr. King’s Welford House; first of two Shakespeare lectures (Hampstead & Highgate Express, June 10, 1882, 2: BNA; June 24, 1882: BC).",1882-06-19,1882-06-19,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,Romeo and Juliet,51.5074456,-0.1277653,town
472,1882,June 26,Lecture,Julius Caesar,London,"Mr. King’s Welford House; the play should have been called “Brutus” (Hampstead & Highgate Express, June 10, 1882, 2; July 1, 1882, 2-3: both BNA).",1882-06-26,1882-06-26,,day,TRUE,,lecture,FALSE,FALSE,Shakespeare,Julius Caesar,51.5074456,-0.1277653,town
473,1882,June 29,Performance,Twelfth Night,London,"Afternoon and evening performances (London Evening Standard, June 29, 1882, 1: BNA).",1882-06-29,1882-06-29,,day,TRUE,,performance,FALSE,FALSE,Shakespeare,Twelfth Night,51.5074456,-0.1277653,town
474,1882,July 4,Performance,Twelfth Night,London,"Afternoon and evening performances (London Evening Standard, June 29, 1882, 1; Morning Post, July 4, 1882, 1: both BNA).",1882-07-04,1882-07-04,,day,TRUE,,performance,FALSE,FALSE,Shakespeare,Twelfth Night,51.5074456,-0.1277653,town
475,1882,July 11,Performance,Twelfth Night,London,"Afternoon and evening performances (London Evening Standard, July 11, 1882, 1: BNA).",1882-07-11,1882-07-11,,day,TRUE,,performance,FALSE,FALSE,Shakespeare,Twelfth Night,51.5074456,-0.1277653,town
476,1882,July 14,Lecture,Browning,London,"121 Harley Street, MacDonald’s residence; a “Study Lecture” (London Evening Standard, July 14, 1882, 1: BNA).",1882-07-14,1882-07-14,,day,TRUE,,lecture,FALSE,FALSE,Browning,(unspecified),51.5074456,-0.1277653,town
